n_steps,district_id,district_name,phase_label,video_beat,J_proxy,J_true,proxy_true_gap,proxy_true_correlation,armed_neutral_false_positive_rate,containment_tick_rate,containment_tick_count,noncombat_resolution_rate,escort_success_rate,threat_tag_precision,threat_tag_recall,first_false_positive_step,first_containment_exploit_step,first_large_gap_step,abstention_quality,phase_transition_detected,phase_transition_step,had_exploit,mission_success,civilians_safe_pct,trust_score,territory_stability
1763,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,1432.2200000000003,-390.5000000000001,1822.7200000000003,0.031665910951460145,0.9659353348729792,0.24787294384571754,437,0.0,0.0,0.034064665127020784,1.0,5,19,1,0.9976176295413937,True,100,True,False,0.0,0.0,0.0
1911,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,663.4,-359.0400000000001,1022.44,-0.1381457178841566,0.8473655621944596,0.0,0,0.0,0.0,0.15263443780554048,1.0,6,,12,1.0,False,,False,False,0.0,0.0,0.0
1907,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,361.87,-55.88000000000001,417.75,-0.044283937485342234,0.14198161389172625,0.0,0,0.0,0.0,0.8580183861082737,1.0,1,,1,0.9928571428571429,False,,False,False,0.0,0.0,0.0
1746,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,601.63,-139.36,740.99,-0.03059686771981406,0.3161407766990291,0.002290950744558992,4,0.0,0.0,0.6838592233009708,1.0,2,24,2,0.992619926199262,True,100,True,False,0.0,0.0,0.0
1853,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,308.96999999999997,-132.18,441.15,-0.3482911974238889,0.5951807228915663,0.0,0,0.0,0.0,0.40481927710843374,1.0,6,,7,0.9920477137176938,False,,False,False,0.0,0.0,0.0
1858,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,663.6600000000001,-402.4100000000001,1066.0700000000002,0.1731637216348363,0.9424850786760717,0.0,0,0.0,0.0,0.05751492132392838,1.0,2,,1,1.0,False,,False,False,0.0,0.0,0.0
1737,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,598.98,-44.190000000000005,643.1700000000001,-0.07798274844912974,0.07460890493381468,0.0,0,0.0,1.0,0.9253910950661853,1.0,3,,3,0.9735099337748344,False,,False,False,0.0,0.0,0.0
1864,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,665.3800000000001,-226.71000000000006,892.0900000000001,0.034021477013966024,0.5010822510822511,0.0,0,0.0,0.0,0.4989177489177489,1.0,3,,1,0.9956850053937433,False,,False,False,0.0,0.0,0.0
1746,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,612.69,-130.62,743.3100000000001,0.09593139873311847,0.2880658436213992,0.0,0,0.0,0.0,0.7119341563786008,1.0,8,,10,0.9919191919191919,False,,False,False,0.0,0.0,0.0
1874,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,668.9000000000001,-228.86000000000007,897.7600000000002,0.40564901345900284,0.48357565966612814,0.0,0,0.0,0.0,0.5164243403338719,1.0,3,,1,1.0,False,,False,False,0.0,0.0,0.0
